"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Apr 01 11:31:12 UTC 2026","Wed Apr 01 11:31:24 UTC 2026","11635","UI Test Automation Suite","User-Specific Tests","com.saucedemo.tests.user.ProblemUserTest","com.saucedemo.tests.user.ProblemUserTest","testProblemUserCheckout","testProblemUserCheckout","Verify problem user experiences issues during checkout"
"passed","Wed Apr 01 11:35:19 UTC 2026","Wed Apr 01 11:35:19 UTC 2026","19","UI Test Automation Suite","UI Validation Tests","com.saucedemo.tests.UIValidationTest","com.saucedemo.tests.UIValidationTest","testAllProductNamesDisplayed","testAllProductNamesDisplayed","Verify all product names are displayed"
"passed","Wed Apr 01 11:31:30 UTC 2026","Wed Apr 01 11:31:36 UTC 2026","6193","UI Test Automation Suite","User-Specific Tests","com.saucedemo.tests.user.PerformanceGlitchUserTest","com.saucedemo.tests.user.PerformanceGlitchUserTest","testPerformanceGlitchUserAddToCart","testPerformanceGlitchUserAddToCart","Verify performance glitch user can add products to cart"
"failed","Wed Apr 01 11:32:22 UTC 2026","Wed Apr 01 11:32:22 UTC 2026","307","UI Test Automation Suite","Products Tests","com.saucedemo.tests.ProductsPageTest","com.saucedemo.tests.ProductsPageTest","testAddMultipleProductsToCart","testAddMultipleProductsToCart","Verify adding multiple products to cart"
"passed","Wed Apr 01 11:32:33 UTC 2026","Wed Apr 01 11:32:33 UTC 2026","139","UI Test Automation Suite","Products Tests","com.saucedemo.tests.ProductDetailsPageTest","com.saucedemo.tests.ProductDetailsPageTest","testBackButtonNavigatesToProducts","testBackButtonNavigatesToProducts","Verify back button navigates to products page"
"passed","Wed Apr 01 11:35:22 UTC 2026","Wed Apr 01 11:35:22 UTC 2026","22","UI Test Automation Suite","UI Validation Tests","com.saucedemo.tests.UIValidationTest","com.saucedemo.tests.UIValidationTest","testAllAddToCartButtonsDisplayed","testAllAddToCartButtonsDisplayed","Verify all add to cart buttons are displayed"
"passed","Wed Apr 01 11:32:21 UTC 2026","Wed Apr 01 11:32:21 UTC 2026","135","UI Test Automation Suite","Products Tests","com.saucedemo.tests.ProductsPageTest","com.saucedemo.tests.ProductsPageTest","testAddProductToCart","testAddProductToCart","Verify adding product to cart"
"failed","Wed Apr 01 11:35:56 UTC 2026","Wed Apr 01 11:35:57 UTC 2026","520","UI Test Automation Suite","Edge Case Tests","com.saucedemo.tests.EdgeCaseTest","com.saucedemo.tests.EdgeCaseTest","testAddAllProductsToCart","testAddAllProductsToCart","Verify adding all products to cart"
"passed","Wed Apr 01 11:32:20 UTC 2026","Wed Apr 01 11:32:20 UTC 2026","32","UI Test Automation Suite","Products Tests","com.saucedemo.tests.ProductsPageTest","com.saucedemo.tests.ProductsPageTest","testProductsAreListed","testProductsAreListed","Verify products are listed on the page"
"passed","Wed Apr 01 11:35:25 UTC 2026","Wed Apr 01 11:35:25 UTC 2026","38","UI Test Automation Suite","UI Validation Tests","com.saucedemo.tests.UIValidationTest","com.saucedemo.tests.UIValidationTest","testPageTitleCorrect","testPageTitleCorrect","Verify page title is correct"
